insertion, quick, natmg, heap
0.0000096,0.0000036,0.000016,0.000005
0.0000424,0.0000116,0.0000404,0.0000168
0.0001674,0.000038,0.000092,0.0000418
0.0004374,0.0000828,0.0001688,0.0000816
0.0009148,0.0001608,0.0002804,0.0001384
0.0016234,0.0002704,0.0004198,0.0002156
0.0045866,0.000669,0.0006976,0.0003762
0.0165,0.0022038,0.0012604,0.0007124
0.043313,0.0055216,0.0021776,0.0012592
0.0911034,0.011464,0.0034364,0.0020098
0.165926,0.0208514,0.004891,0.0029704
0.466906,0.0575624,0.0079336,0.0050366
3.17992,0.387103,0.0179036,0.0120256
10.7214,1.30161,0.0352458,0.0244074
40.9392,4.96141,0.0715474,0.0511388
