파일개수,insertion, quick, natmg, heap
50,0.0000074,0.0000048,0.0000186,0.0000056
100,0.0000268,0.000014,0.0000434,0.000018
200,0.0000938,0.0000388,0.0000904,0.0000482
300,0.0002366,0.0000744,0.0001632,0.000094
400,0.0004934,0.0001268,0.0002686,0.000162
500,0.0008976,0.0001932,0.0003946,0.0002454
1000,0.00242,0.0003366,0.0006764,0.0004322
2000,0.0085342,0.0006482,0.0012618,0.000862
3000,0.0221196,0.0011478,0.0022318,0.0015176
4000,0.0461356,0.001838,0.0034924,0.0024214
5000,0.084042,0.0027066,0.0051512,0.0036286
10000,0.233341,0.0045382,0.0086726,0.0062472
30000,1.58753,0.010605,0.0202792,0.0153406
50000,5.36701,0.0211436,0.0407246,0.0316844
100000,20.4861,0.0432352,0.084451,0.068141
